Distance,Comp.Potential,Exp,Diff,HF-Exchange
6,0.896,1.507,0.611,0
7,0.361,1.507,1.146,0
8,0.271,1.507,1.236,0
9,0.358,1.507,1.149,0
10,0.375,1.507,1.132,0
6,1.239,1.507,0.268,15
7,0.736,1.507,0.771,15
8,0.589,1.507,0.918,15
9,0.675,1.507,0.832,15
10,0.704,1.507,0.803,15
6,1.526,1.507,-0.019,20
7,1.028,1.507,0.479,20
8,0.883,1.507,0.624,20
9,0.918,1.507,0.589,20
10,1,1.507,0.507,20
6,1.824,1.507,-0.317,25
7,1.238,1.507,0.269,25
8,1.156,1.507,0.351,25
9,1.231,1.507,0.276,25
10,1.275,1.507,0.232,25
6,2.163,1.507,-0.656,50
7,1.543,1.507,-0.036,50
8,1.382,1.507,0.125,50
9,1.666,1.507,-0.159,50
10,1.507,1.507,0,50
